"평점","날짜","시간대","월","요일","요금","주"
1,"2019-07-03","나이트","July","Wednesday",7000,"평일"
10,"2019-07-03","나이트","July","Wednesday",7000,"평일"
8,"2019-07-02","데이라이트","July","Tuesday",9000,"평일"
10,"2019-07-02","모닝","July","Tuesday",6000,"평일"
8,"2019-07-02","나이트","July","Tuesday",7000,"평일"
10,"2019-06-30","프라임","June","Sunday",10000,"주말"
10,"2019-06-30","프라임","June","Sunday",10000,"주말"
5,"2019-06-30","브런치","June","Sunday",10000,"주말"
5,"2019-06-30","나이트","June","Sunday",8000,"주말"
10,"2019-06-29","프라임","June","Saturday",10000,"주말"
10,"2019-06-29","나이트","June","Saturday",8000,"주말"
10,"2019-06-28","브런치","June","Friday",10000,"주말"
6,"2019-06-27","나이트","June","Thursday",7000,"평일"
10,"2019-06-26","나이트","June","Wednesday",7000,"평일"
1,"2019-06-25","데이라이트","June","Tuesday",9000,"평일"
10,"2019-06-25","브런치","June","Tuesday",8000,"평일"
6,"2019-06-25","나이트","June","Tuesday",7000,"평일"
1,"2019-06-24","프라임","June","Monday",9000,"평일"
7,"2019-06-24","나이트","June","Monday",7000,"평일"
10,"2019-06-23","문라이트","June","Sunday",10000,"주말"
10,"2019-06-23","나이트","June","Sunday",8000,"주말"
9,"2019-06-21","나이트","June","Friday",8000,"주말"
10,"2019-06-20","모닝","June","Thursday",6000,"평일"
10,"2019-06-18","프라임","June","Tuesday",9000,"평일"
10,"2019-06-18","프라임","June","Tuesday",9000,"평일"
10,"2019-06-18","나이트","June","Tuesday",7000,"평일"
7,"2019-06-13","데이라이트","June","Thursday",9000,"평일"
10,"2019-06-12","모닝","June","Wednesday",6000,"평일"
10,"2019-06-12","나이트","June","Wednesday",7000,"평일"
8,"2019-06-12","나이트","June","Wednesday",7000,"평일"
10,"2019-06-11","나이트","June","Tuesday",7000,"평일"
8,"2019-06-11","나이트","June","Tuesday",7000,"평일"
4,"2019-06-10","문라이트","June","Monday",8000,"평일"
7,"2019-06-10","프라임","June","Monday",9000,"평일"
10,"2019-06-09","문라이트","June","Sunday",10000,"주말"
6,"2019-06-09","모닝","June","Sunday",7000,"주말"
10,"2019-06-09","나이트","June","Sunday",8000,"주말"
10,"2019-06-09","나이트","June","Sunday",8000,"주말"
10,"2019-06-08","문라이트","June","Saturday",10000,"주말"
10,"2019-06-08","데이라이트","June","Saturday",10000,"주말"
10,"2019-06-08","나이트","June","Saturday",8000,"주말"
10,"2019-06-08","나이트","June","Saturday",8000,"주말"
8,"2019-06-07","프라임","June","Friday",10000,"주말"
10,"2019-06-07","데이라이트","June","Friday",10000,"주말"
10,"2019-06-07","나이트","June","Friday",8000,"주말"
10,"2019-06-07","나이트","June","Friday",8000,"주말"
10,"2019-06-07","나이트","June","Friday",8000,"주말"
10,"2019-06-06","문라이트","June","Thursday",8000,"평일"
10,"2019-06-06","프라임","June","Thursday",9000,"평일"
10,"2019-06-06","프라임","June","Thursday",9000,"평일"
10,"2019-06-06","프라임","June","Thursday",9000,"평일"
